Name,PrimaryFocus,Secondary Focus,Max Primary,Max Secondary,Categories,Equipment,Note
Overhead Press,Reps,Weight,0,0,"Shoulders,Traps,Abdominals,Legs,Arms",None,
Squat,Reps,Weight,0,0,"Glutes,Quads,Abdominals,Hips",Barbell,
Leg Press,Reps,Weight,0,0,"Glutes,Quads",Machine,
Lunge,Reps,Weight,0,0,"Glutes,Quads,Hamstring,Hips",Single Dumbbell,
Deadlift,Reps,Weight,0,0,"Glutes,Quads,Hamstring,Hips,Lower Back",Barbell,
Leg Extension,Reps,Weight,0,0,Quads,Machine,
Leg Curl,Reps,Weight,0,0,Hamstring,Machine,
Standing Calf Raise,Reps,Weight,0,0,Calves,Single Dumbbell,
Seated Calf Raise,Reps,Weight,0,0,Calves,Machine,
Bench Press,Reps,Weight,0,0,"Pectorals,Triceps",Machine,
Chest Fly,Reps,Weight,0,0,Pectorals,Machine,
Pushup,Reps,None,0,,"Pectorals,Deltoids,Triceps",None,
Pulldown,Reps,Weight,0,0,Lats,Machine,
Pullup,Reps,Weight,0,0,Lats,Machine,
Bent-over Row,Reps,Weight,0,0,Lats,Double Dumbbell,
Upright Row,Reps,Weight,0,0,"Traps,Deltoids",Double Dumbbell,
Shoulder Press,Reps,Weight,0,0,Deltoids,Single Dumbbell,
Shoulder Fly,Reps,Weight,0,0,Deltoids,Single Dumbbell,
Lateral Raise,Reps,Weight,0,0,Deltoids,Single Dumbbell,
Shoulder Shrug,Reps,Weight,0,0,Traps,Single Dumbbell,
Pushdown,Reps,Weight,0,0,Triceps,Machine,
Triceps Extension,Reps,Weight,0,0,Triceps,Single Dumbbell,
Bicep Curl,Reps,Weight,0,0,Biceps,Single Dumbbell,
Crunch,Reps,None,0,,Abdominals,None,
Twist,Reps,Weight,0,0,Abdominals,Double Dumbbell,
Leg Raise,Reps,Weight,0,0,"Abdominals,Hips",Single Dumbbell,
Back Extension,Reps,Weight,0,0,"Glutes,Lower Back",Machine,
Wall Sit,Time,None,00:00:00,,Quadriceps,None,
Cable Crossover,Reps,Weight,0,0,Pectorals,Machine,
Treadmill,Time,Distance,00:00:00,0,Cardio,Machine,
Running,Time,Distance,00:00:00,0,Cardio,None,
Stationary Bike,Time,Distance,00:00:00,0,Cardio,Machine,
Bike Ride,Time,Distance,00:00:00,0,Cardio,None,
Swimming,Time,Distance,00:00:00,0,Cardio,None,
Basketball,Time,None,00:00:00,,Cardio,None,
Soccer,Time,None,00:00:00,,Cardio,None,
Tennis,Time,None,00:00:00,,Cardio,None,
Mountain Climbers,Reps,None,0,,"Shoulders,Abdominals,Core",None,
Plank,Time,None,00:00:00,,"Shoulders,Abdominals,Core,Back",None,
Seated Row,Reps,None,0,,"Shoulders,Lats,Biceps",Machine,
Barbell Row,Reps,Weight,0,0,"Upper Back,Lower Back,Abdominals,Hips,Arms",Barbell,
Jumping Squat,Reps,None,0,,"Abdominals,Glutes,Quads",None,
Sit-up,Reps,None,0,,"Abdominals,Obliques",None,
Incline Smith Machine Press,Reps,Weight,0,0,"Upper Chest,Triceps",Machine,
England smith machine press,Reps,Weight,0,0,,None,
Weighted Dips,Reps,Weight,0,0,"Pecs,Triceps",None,
Chest Press,Reps,Weight,0,0,"Mid chest,Tricep",Double Dumbbell,
Low-cable chest fly,Reps,Weight,0,0,Upper chest,None,
Dual axis row,Reps,Weight,0,0,Lat,None,
Facepulls,Reps,Weight,0,0,Rear delt,None,
Lat prayer,Reps,Weight,0,0,Lat,None,
Incline curls,Reps,Weight,0,0,"Long head bicep,Brach",Double Dumbbell,
Spider-curls,Reps,Weight,0,0,Short-head biceps,Double Dumbbell,
Forearm blaster,Reps,Weight,0,0,Forearms,None,
Db skullcrushers,Reps,Weight,0,0,Triceps (long head focus),Double Dumbbell,
Standing super ez bar curls,Reps,Weight,0,0,Biceps,None,
Helms Row,Reps,Weight,0,0,Back (lats),None,
Crossover Read Delt cable flys,Reps,Weight,0,0,Rear dealt,None,
Trap machine,Reps,Weight,0,0,Traps,Machine,
Cable crunches (G),Reps,Weight,0,0,Upper abs (core),Machine,
Rdls,Reps,Weight,0,0,"Hamstring,Glutes",None,
Smith machine hip thrusts,Reps,Weight,0,0,Glutes,None,
Single arm cable lat pulldown,Reps,Weight,0,0,Lat,None,
Dual axis pull down,Reps,Weight,0,0,Back,None,
Machine shoulder press neutral,Reps,Weight,0,0,Delts,None,
High-low cable fly,Reps,Weight,0,0,Lower pec,None,
Single arm tricep pushdown,Reps,Weight,0,0,Tricep short head,None,
Single arm tricep overhead extension,Reps,Weight,0,0,Tricep long head,None,
Preacher Curl,Reps,Weight,0,0,Short head bicep,None,
Incline chest press,Reps,Weight,0,0,Upper pec,None,
supinated pushdown ,Reps,Weight,0,0,Medial tricep,None,
Seated hamstring curl,Reps,Weight,0,0,Hamstring,None,
Incline converging press,Reps,Weight,0,0,Upper pec,None,
Mts high row,Reps,Weight,0,0,Back,None,
Cable curl,Reps,Weight,0,0,Bicep,None,
Sup seated row,Reps,Weight,0,0,Back,None,
Hack squat,Reps,Weight,0,0,Quads,None,
Lateral Raise Machine,Reps,Weight,0,0,Side delt,None,
Pro seated row,Reps,Weight,0,0,Upper back,None,
Machine preacher curl,Reps,Weight,0,0,Short heqd biceps,None,
Incline bench,Reps,Weight,0,0,Upper pec,None,
Mid cable fly,Reps,Weight,0,0,Middle pec,None,
Tricep rope pulldown,Reps,Weight,0,0,Short head tricep,None,
Rope tricep overhead ext,Reps,Weight,0,0,Long head tricep,None,
Neutral seated row,Reps,Weight,0,0,Back,None,
Sussy out,Reps,Weight,0,0,Abductor,None,
Standing leg curl,Reps,Weight,0,0,Hamstring,None,
Ryan Rows,Reps,Weight,0,0,Lat,None,
Tricep crossover pulldown,Reps,Weight,0,0,Tricep,None,
Neutral grip cable row,Reps,Weight,0,0,Back,None,
Smith machine row,Reps,Weight,0,0,Back,None,
Bulgarian split squats,Reps,Weight,0,0,,None,